Name,Link to back sync,Variables (from Name copy),Title,CF Standard Name,Proposed CF Standard Name,Units,UID,Processing Note,Processing Comment,Provenance,Name Validation,Review Status (internal)
sisi,sisi,"SIday.sisi, SImon.sisi",Dissolved Silicon Amount in Sea Ice,sea_ice_mole_content_of_silicon,mole_amount_of_silicon_in_sea_ice,mol m-2,f86eb6d0-8ca1-11ef-944e-41a8eb05f654,si,,,1,Accepted for CMIP7
sisnconc,sisnconc,SImon.sisnconc,Snow Area Percentage,surface_snow_area_fraction,,%,590d38b0-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Units and Description - CMIP6: Snow Area Percentage and %, CMIP7: Snow Area Fraction and 1",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisndmassdyn,sisndmassdyn,SImon.sisndmassdyn,Snow Mass Rate of Change Through Advection by Sea-Ice Dynamics,tendency_of_surface_snow_amount_due_to_sea_ice_dynamics,,kg m-2 s-1,59139246-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name - CMIP6: sndmassdyn, CMIP7: sisndmassdyn",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisndmassmelt,sisndmassmelt,SImon.sisndmassmelt,Snow Mass Rate of Change Through Melt,surface_snow_melt_flux,,kg m-2 s-1,590e1ef6-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name - CMIP6: sndmassmelt, CMIP7: sisndmassmelt",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisndmasssi,sisndmasssi,SImon.sisndmasssi,Snow Mass Rate of Change Through Snow-to-Ice Conversion,tendency_of_surface_snow_amount_due_to_conversion_of_snow_to_sea_ice,,kg m-2 s-1,5914c95e-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name - CMIP6: sndmasssi, CMIP7: sisndmasssi",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisndmasssnf,sisndmasssnf,SImon.sisndmasssnf,Snow Mass Change Through Snowfall,snowfall_flux,,kg m-2 s-1,59142a3a-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name and Description - CMIP6: sndmasssnf, CMIP7: sisndmasssnf",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisndmasssubl,sisndmasssubl,SImon.sisndmasssubl,Snow Mass Rate of Change Through Evaporation or Sublimation,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,,kg m-2 s-1,590de2ce-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name and Description - CMIP6: sndmasssubl, CMIP7: sisndmasssubl",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisndmasswind,sisndmasswind,SImon.sisndmasswind,Snow Mass Rate of Change Through Wind Drift of Snow,tendency_of_surface_snow_amount_due_to_drifting_into_sea,,kg m-2 s-1,590d7370-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Name and Description - CMIP6: sndmasswindrif, CMIP7: sisndmasswind",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisnhc,sisnhc,"SImon.sisnhc, SIday.sisnhc",Snow Heat Content,thermal_energy_content_of_surface_snow,,J m-2,5912f890-9e49-11e5-803c-0d0b866b59f3,si,"CHANGE SINCE CMIP6 in Title and Description - CMIP6: Snow Heat Content per Unit Area, CMIP7: Snow Heat Content",CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisnmass,sisnmass,SImon.sisnmass,Snow Mass per Area,surface_snow_amount,,kg m-2,5914a6b8-9e49-11e5-803c-0d0b866b59f3,si,CHANGE SINCE CMIP6 in Description,CMIP6 endorsement [SIMIP],1,Existing physical parameter
sisnmassacrossline,sisnmassacrossline,SImon.sisnmassacrossline,Snow Mass Flux Through Straits,snow_transport_across_line_due_to_sea_ice_dynamics,,kg s-1,7309b2ce-7a68-11e6-8db2-ac72891c3257,si,"CHANGE SINCE CMIP6 in Name and Description - CMIP6: snmassacrossline, CMIP7: sisnmassacrossline",CMIP6 endorsement [SIMIP],1,Existing physical parameter
